Relief_ID,Authority,split,image_path,view_index,suffix
AO 1432,Sargon II,train,/mnt/c/Users/chend/Desktop/My_Files/Thesis/Dataset/dataset/AO 1432-1.jpg,1,.jpg
AO 1432,Sargon II,train,/mnt/c/Users/chend/Desktop/My_Files/Thesis/Dataset/dataset/AO 1432-2.jpg,2,.jpg
AO 19852,OTHER,train,/mnt/c/Users/chend/Desktop/My_Files/Thesis/Dataset/dataset/AO 19852-1.JPG,1,.jpg
AO 19854,OTHER,train,/mnt/c/Users/chend/Desktop/My_Files/Thesis/Dataset/dataset/AO 19854-1.jpg,1,.jpg
AO 19863,Sargon II,test,/mnt/c/Users/chend/Desktop/My_Files/Thesis/Dataset/dataset/AO 19863-1.jpg,1,.jpg
AO 19863,Sargon II,test,/mnt/c/Users/chend/Desktop/My_Files/Thesis/Dataset/dataset/AO 19863-2.jpg,2,.jpg
AO 19863,Sargon II,test,/mnt/c/Users/chend/Desktop/My_Files/Thesis/Dataset/dataset/AO 19863-3.jpg,3,.jpg
AO 19863,Sargon II,test,/mnt/c/Users/chend/Desktop/My_Files/Thesis/Dataset/dataset/AO 19863-4.jpg,4,.jpg
AO 19863,Sargon II,test,/mnt/c/Users/chend/Desktop/My_Files/Thesis/Dataset/dataset/AO 19863-5.jpg,5,.jpg
AO 19863,Sargon II,test,/mnt/c/Users/chend/Desktop/My_Files/Thesis/Dataset/dataset/AO 19863-6.jpg,6,.jpg
AO 19864,Sargon II,train,/mnt/c/Users/chend/Desktop/My_Files/Thesis/Dataset/dataset/AO 19864-1.jpg,1,.jpg
AO 19867,Sargon II,train,/mnt/c/Users/chend/Desktop/My_Files/Thesis/Dataset/dataset/AO 19867-1.jpg,1,.jpg
AO 19869,Sargon II,test,/mnt/c/Users/chend/Desktop/My_Files/Thesis/Dataset/dataset/AO 19869-1.jpg,1,.jpg
AO 19869,Sargon II,test,/mnt/c/Users/chend/Desktop/My_Files/Thesis/Dataset/dataset/AO 19869-2.jpg,2,.jpg
AO 19869,Sargon II,test,/mnt/c/Users/chend/Desktop/My_Files/Thesis/Dataset/dataset/AO 19869-3.jpg,3,.jpg
AO 19869,Sargon II,test,/mnt/c/Users/chend/Desktop/My_Files/Thesis/Dataset/dataset/AO 19869-4.jpg,4,.jpg
