Relief_ID,Authority,split,image_path,view_index,suffix
AN 1982.224,Ashurnasirpal II,train,/home/kostya/projects/dataset_v2/AN 1982.224-1.png,1,.png
AN 1982.224,Ashurnasirpal II,train,/home/kostya/projects/dataset_v2/AN 1982.224-2.png,2,.png
AN 1982.224,Ashurnasirpal II,train,/home/kostya/projects/dataset_v2/AN 1982.224-3.png,3,.png
AO 1432,Sargon II,val,/home/kostya/projects/dataset_v2/AO 1432-1.jpg,1,.jpg
AO 1432,Sargon II,val,/home/kostya/projects/dataset_v2/AO 1432-2.jpg,2,.jpg
AO 1434,Sargon II,test,/home/kostya/projects/dataset_v2/AO 1434-1.jpg,1,.jpg
AO 19863,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19863-1.jpg,1,.jpg
AO 19863,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19863-2.jpg,2,.jpg
AO 19863,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19863-3.jpg,3,.jpg
AO 19863,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19863-4.jpg,4,.jpg
AO 19863,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19863-5.jpg,5,.jpg
AO 19863,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19863-6.jpg,6,.jpg
AO 19864,Sargon II,test,/home/kostya/projects/dataset_v2/AO 19864-1.jpg,1,.jpg
AO 19865,Sargon II,val,/home/kostya/projects/dataset_v2/AO 19865-1.jpg,1,.jpg
AO 19865,Sargon II,val,/home/kostya/projects/dataset_v2/AO 19865-2.jpg,2,.jpg
AO 19867,Sargon II,val,/home/kostya/projects/dataset_v2/AO 19867-1.jpg,1,.jpg
AO 19869,Sargon II,val,/home/kostya/projects/dataset_v2/AO 19869-1.jpg,1,.jpg
AO 19869,Sargon II,val,/home/kostya/projects/dataset_v2/AO 19869-2.jpg,2,.jpg
AO 19869,Sargon II,val,/home/kostya/projects/dataset_v2/AO 19869-3.jpg,3,.jpg
AO 19869,Sargon II,val,/home/kostya/projects/dataset_v2/AO 19869-4.jpg,4,.jpg
AO 19870,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19870-1.jpg,1,.jpg
AO 19870,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19870-2.jpg,2,.jpg
AO 19870,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19870-3.jpg,3,.jpg
AO 19871,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19871-1.jpg,1,.jpg
AO 19872,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19872-1.jpg,1,.jpg
AO 19872,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19872-2.jpg,2,.jpg
AO 19872,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19872-3.jpg,3,.jpg
AO 19872,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19872-4.jpg,4,.jpg
AO 19872,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19872-5.jpg,5,.jpg
AO 19872,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19872-6.jpg,6,.jpg
AO 19873,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19873-1.jpg,1,.jpg
AO 19873,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19873-2.jpg,2,.jpg
AO 19873,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19873-3.jpg,3,.jpg
AO 19873,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19873-4.jpg,4,.jpg
AO 19873,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19873-5.jpg,5,.jpg
AO 19873,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19873-6.jpg,6,.jpg
AO 19873,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19873-7.jpg,7,.jpg
AO 19873,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19873-8.jpg,8,.jpg
AO 19875,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19875-1.jpg,1,.jpg
AO 19875,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19875-2.jpg,2,.jpg
AO 19875,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19875-3.jpg,3,.jpg
AO 19875,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19875-4.jpg,4,.jpg
AO 19876,Sargon II,val,/home/kostya/projects/dataset_v2/AO 19876-1.jpg,1,.jpg
AO 19876,Sargon II,val,/home/kostya/projects/dataset_v2/AO 19876-2.jpg,2,.jpg
AO 19876,Sargon II,val,/home/kostya/projects/dataset_v2/AO 19876-3.jpg,3,.jpg
AO 19877,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19877-1.jpg,1,.jpg
AO 19877,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19877-2.jpg,2,.jpg
AO 19877,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19877-3.jpg,3,.jpg
AO 19877,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19877-4.jpg,4,.jpg
AO 19878,Sargon II,val,/home/kostya/projects/dataset_v2/AO 19878-1.jpg,1,.jpg
AO 19878,Sargon II,val,/home/kostya/projects/dataset_v2/AO 19878-2.jpg,2,.jpg
AO 19878,Sargon II,val,/home/kostya/projects/dataset_v2/AO 19878-3.jpg,3,.jpg
AO 19880,Sargon II,test,/home/kostya/projects/dataset_v2/AO 19880-1.jpg,1,.jpg
AO 19881,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19881-1.jpg,1,.jpg
AO 19881,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19881-2.jpg,2,.jpg
AO 19881,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19881-3.jpg,3,.jpg
AO 19881,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19881-4.jpg,4,.jpg
AO 19883,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19883-1.jpg,1,.jpg
AO 19883,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19883-2.jpg,2,.jpg
AO 19883,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19883-3.jpg,3,.jpg
AO 19883,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19883-4.jpg,4,.jpg
AO 19883,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19883-5.jpg,5,.jpg
AO 19883,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19883-6.jpg,6,.jpg
AO 19884,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19884-1.jpg,1,.jpg
AO 19884,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19884-2.jpg,2,.jpg
AO 19884,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19884-3.jpg,3,.jpg
AO 19885,Sargon II,test,/home/kostya/projects/dataset_v2/AO 19885-1.jpg,1,.jpg
AO 19885,Sargon II,test,/home/kostya/projects/dataset_v2/AO 19885-2.jpg,2,.jpg
AO 19886,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19886-1.jpg,1,.jpg
AO 19886,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19886-2.jpg,2,.jpg
AO 19886,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19886-3.jpg,3,.jpg
AO 19887,Sargon II,val,/home/kostya/projects/dataset_v2/AO 19887-1.jpg,1,.jpg
AO 19887,Sargon II,val,/home/kostya/projects/dataset_v2/AO 19887-2.jpg,2,.jpg
AO 19887,Sargon II,val,/home/kostya/projects/dataset_v2/AO 19887-3.jpg,3,.jpg
AO 19889,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19889-1.jpg,1,.jpg
AO 19889,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19889-10.jpg,10,.jpg
AO 19889,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19889-11.jpg,11,.jpg
AO 19889,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19889-2.jpg,2,.jpg
AO 19889,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19889-3.jpg,3,.jpg
AO 19889,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19889-5.jpg,5,.jpg
AO 19889,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19889-6.jpg,6,.jpg
AO 19889,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19889-7.jpg,7,.jpg
AO 19889,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19889-8.jpg,8,.jpg
AO 19889,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19889-9.jpg,9,.jpg
AO 19890,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19890-1.jpg,1,.jpg
AO 19890,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19890-2.jpg,2,.jpg
AO 19890,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19890-3.jpg,3,.jpg
AO 19890,Sargon II,train,/home/kostya/projects/dataset_v2/AO 19890-4.jpg,4,.jpg
AO 19893,Sargon II,val,/home/kostya/projects/dataset_v2/AO 19893-1.jpg,1,.jpg
AO 19894,Sargon II,test,/home/kostya/projects/dataset_v2/AO 19894-1.jpg,1,.jpg
AO 19896,Sargon II,test,/home/kostya/projects/dataset_v2/AO 19896-1.jpg,1,.jpg
AO 19897,Sargon II,test,/home/kostya/projects/dataset_v2/AO 19897-1.jpg,1,.jpg
AO 19897,Sargon II,test,/home/kostya/projects/dataset_v2/AO 19897-2.jpg,2,.jpg
AO 19898,Sargon II,val,/home/kostya/projects/dataset_v2/AO 19898-1.jpg,1,.jpg
