component_key,Authority,split,image_count,filenames,relief_group_keys,content_sha256_values
component:009eadf1e1e76e80,Sargon II,val,3,"BM 1847,0702.23-1.jpg;BM 1847,0702.23-2.jpg;BM 1847,0702.23-3.jpg",object:bm_w_1847_0702_23,01c98767e76010c7b5b925abca522a8e7b517fd585a0c219c40aad2b2f56ff98;5e0910660fbaeb0ed56d9fa227fecca65052909febd299d47710a7fcf6b3bb79;cf88ee8ea732a03ca5a378829ce1fa785f45842e0764390d2564fab593d56e14
component:012bee4adb044601,Ashurnasirpal II,train,1,BRK 55.152-1.jpg,object:brooklyn_55_152,81e5458bcf295f8244f8930cbd225674e2d5076fc30d683f856008df0edf2345
component:02d89d12ddecaf40,Ashurbanipal,val,5,BM 124871-1.jpg;BM 124871-2.jpg;BM 124871-3.jpg;BM 124871-4.jpg;BM 124871-5.jpg,relief:bm_124871,2a56f843c49d9d99a7b279f1deddbd2a310a1840e420f4e352306f4ff2c72e18;5e2b3a2624201d4a4a268b2198466ee42b756638c5ef4a640ad04c3488adb9c3;e3c7ef157d398cbf6c949b017764bfe55d65c31705516a978c88cfcb7d6ba075;f92431063cb7935ca1130d5ee0cf870364eecda6b297d6d95d1b1759b270f7ce
component:04ced4585574cfc3,Sargon II,test,2,AO 19885-1.jpg;AO 19885-2.jpg,object:louvre_cl010122709,2ac339334939551a36780d52d8025f887b41080874fe2b4109b47466410dbe00;65685a88b0fa3bc4b6633106dbd61db7695a5f79de95f40279f1f159f3d048e5
component:05d16ddb0bdbd2e1,Sargon II,test,1,AO 1434-1.jpg,object:louvre_cl010122553,080ccbaf8ba32242b30b93996e69122ec370ec2d5f4d2b9ee866dcdcd6bed0fe
component:06ebd955af403609,Ashurnasirpal II,train,1,BM 124575-1.jpg,object:bm_w_1999_0122_2,7ba78af7b945ed4e18d467f150e3c2164c522afd6d999b81121ac0ec6a12e00d
component:07261405323f561f,Ashurnasirpal II,val,4,BM 124535-1.jpg;BM 124535-2.jpg;BM 124535-3.jpg;BM 124535-4.jpg,object:bm_w_1847_0623_13,059fa8a4afaa9687c59a681368f22551cb8da5789296cf7a8ac0e8d9f5684987;4efeca104b334b159960d5ebf221beb225a586ce39fa6424c188cb0c19624023;936ecb40f9b48be1a0c0494fe3ca6353d7c9def389cf37ed08330a6ab788d0b6;e2499dd9cdf12ba87e56fd75cc3c8768f500680600318bf822a02ba39e5725d9
component:0baff48dbeb38fea,Ashurbanipal,train,1,BM 124873-1.jpg,object:bm_w_1856_0909_48_9,53480a75d784c561e6c8a541727f819b25f8e59edb97234660bee7c36ff48163
component:0bf45e75d49b75ea,Ashurbanipal,train,17,BM 124794-1.jpg;BM 124794-2.jpg;BM 124794-3.jpg;BM 124920-1.jpg;BM 124920-2.jpg;BM 124920-3.jpg;BM 124920-4.jpg;BM 124920-5.jpg;BM 124920-6.jpg;BM 124920-7.jpg;BM 124922-1.jpg;BM 124922-2.jpg;BM 124922-3.jpg;BM 124922-4.jpg;BM 124922-5.jpg;BM 124922-6.jpg;BM 124922-7.jpg,relief:bm_banquet_124794_135120,0f2275134adeaeaf5afc144090fd46d04a6d70b1e42fffd1dd9af2fb4c06dda2;1ce25151539357a9bc86cfe464097b5e492eb7003377cf20a2cfe95e16d61b14;1d82b20c305bb10c41852199cf1b22341fcb6d465addad2dc04b976b44c2607a;2388d190f5c83b31df49d850d920f1955a8d551e9a773ad50fd60369704c79fa;265b880895e528cf07e26ade675f2b418698256666d16d224b08e964404d42f3;3058d3b03603728c6cfe36f3686977f58c070fc47c57ca94e3e8b8ff5a559d9e;3ef2c716c5d134654eb7ae87c7324614c5bc24b2672fadd3acf7b1c5cb339c85;466c0f63db5ed44bcf77975cdb7eb6ea4bb6b002abfcd0b80ab29b9e145aa7c5;663628b09e0e972d25c1c5fa3d07b9b8956fe0c6b6d43e8d9bb405bf5b8439eb;719c5dad656342d251bb5c65bf38bab4640c4597208b27ad8cf974994a9bf538;71e03d76cb58969f62603fd5db6c82e276e98c50bc3e0c47a0ccc096e3415f3b;7bb8c790f2ac96ffd494a0ecb38a55e0f54c4a241efb618bd103e40aa1e05ee3;909c1ef03d12337add14a682959a9f52825137e0b8e18086c2af7d69efaac0c9;a590e232d713c2fa7ffc8a4df6eba2e4575e1c9cbe824590b8c02a405587b296;a73bb1755b9277a140857ece329623ce78f2c303ceedb1a74d234ded4b5966a1;bb9eeba1fe92895ab69560bf5ae5f7737cafdee1d0fccdf59bdcef42e7809f39;f97f557f44437be4b42b227106235d7400550c42977741ae78c3f3e894063d73
component:0c378f95e2bd8162,Ashurbanipal,test,3,BM 124918-1.jpg;BM 124918-2.jpg;BM 124918-3.jpg,object:bm_w_1856_0909_41,1b1873f02c6adb7565a686e9c688bec962f7e988f69b3cf02901874da5a6c78f;303601db6abdef4d17bd0139a2c8337d1e2961d9998a2fd6e1c52eaf80bc2c5d;6a36bd3ae4012322a123ae1faf5126ef12718d33e0b33f6cdd3262f8b81e6f41
