seed,query_group,query_relief_ids,query_authority,rank,neighbour_group,neighbour_relief_ids,neighbour_authority,cosine_similarity,same_label
24,component:49dfc86ff54bc4de,BM 118829,Sargon II,1,component:50368ece00ecbe9e,BM 124537,Ashurnasirpal II,0.9349076747894287,False
24,component:49dfc86ff54bc4de,BM 118829,Sargon II,2,component:72f4a3fe5e28d6aa,BM 124553,Ashurnasirpal II,0.9309300184249878,False
24,component:49dfc86ff54bc4de,BM 118829,Sargon II,3,component:f1361a1a2e806a6e,BM 124552,Ashurnasirpal II,0.925169825553894,False
24,component:49dfc86ff54bc4de,BM 118829,Sargon II,4,component:d9a32fc73c776b8f,BM 98061,Ashurnasirpal II,0.91840660572052,False
24,component:49dfc86ff54bc4de,BM 118829,Sargon II,5,component:7c47474369feae95,BM 124551,Ashurnasirpal II,0.9157085418701172,False
24,component:5ac1df0635a784a9,AO 19902,Ashurbanipal,1,component:e3555baf0baf0dda,BM 124586,Ashurnasirpal II,0.9541974663734436,False
24,component:5ac1df0635a784a9,AO 19902,Ashurbanipal,2,component:8948646c0aba7b34,BM 124578,Ashurnasirpal II,0.9341830015182495,False
24,component:5ac1df0635a784a9,AO 19902,Ashurbanipal,3,component:fc2233d0d06153f5,BRK 55.153,Ashurnasirpal II,0.9292713403701782,False
24,component:5ac1df0635a784a9,AO 19902,Ashurbanipal,4,component:3073a63f6c4efce2,MET 31.72.2,Ashurnasirpal II,0.9231061935424805,False
24,component:5ac1df0635a784a9,AO 19902,Ashurbanipal,5,component:8d39f08650c1146c,AN 1982.224,Ashurnasirpal II,0.9229931831359863,False
24,component:780c196f9e54b401,AO 19909,Ashurbanipal,1,component:89e36a40d358915d,BM 124801;BM 124802,Ashurbanipal,0.9695802927017212,True
24,component:780c196f9e54b401,AO 19909,Ashurbanipal,2,component:242afe8b9ec37c4f,BM 136774,Ashurbanipal,0.969403862953186,True
24,component:780c196f9e54b401,AO 19909,Ashurbanipal,3,component:139252299d267a57,BM 124928,Ashurbanipal,0.9673177003860474,True
24,component:780c196f9e54b401,AO 19909,Ashurbanipal,4,component:7bde19305458e067,BM 124938,Ashurbanipal,0.9635841250419617,True
24,component:780c196f9e54b401,AO 19909,Ashurbanipal,5,component:9a39941197451d81,BM 124886,Ashurbanipal,0.9591323733329773,True
24,component:d02b2dac92a774f5,BM 124931,Ashurbanipal,1,component:c2a831c92b9da5f5,BM 118918,Ashurbanipal,0.9421059489250183,True
24,component:d02b2dac92a774f5,BM 124931,Ashurbanipal,2,component:50368ece00ecbe9e,BM 124537,Ashurnasirpal II,0.9279339909553528,False
24,component:d02b2dac92a774f5,BM 124931,Ashurbanipal,3,component:72f4a3fe5e28d6aa,BM 124553,Ashurnasirpal II,0.9238722324371338,False
24,component:d02b2dac92a774f5,BM 124931,Ashurbanipal,4,component:97fdc419825cbe03,MET 32.143.3,Ashurnasirpal II,0.9174259305000305,False
24,component:d02b2dac92a774f5,BM 124931,Ashurbanipal,5,component:f1361a1a2e806a6e,BM 124552,Ashurnasirpal II,0.9032422304153442,False
24,component:d50b8e780f731a29,BM 124867,Ashurbanipal,1,component:c2a831c92b9da5f5,BM 118918,Ashurbanipal,0.9300307035446167,True
24,component:d50b8e780f731a29,BM 124867,Ashurbanipal,2,component:50368ece00ecbe9e,BM 124537,Ashurnasirpal II,0.9275254011154175,False
24,component:d50b8e780f731a29,BM 124867,Ashurbanipal,3,component:72f4a3fe5e28d6aa,BM 124553,Ashurnasirpal II,0.9229087829589844,False
24,component:d50b8e780f731a29,BM 124867,Ashurbanipal,4,component:f1361a1a2e806a6e,BM 124552,Ashurnasirpal II,0.9098414182662964,False
24,component:d50b8e780f731a29,BM 124867,Ashurbanipal,5,component:97fdc419825cbe03,MET 32.143.3,Ashurnasirpal II,0.898798942565918,False
24,component:f9766de051a8a32d,AO 19894,Sargon II,1,component:af96050e0dcf5973,AO 19870,Sargon II,0.872954249382019,True
24,component:f9766de051a8a32d,AO 19894,Sargon II,2,component:96ac818096e6f999,AO 19883,Sargon II,0.8643235564231873,True
24,component:f9766de051a8a32d,AO 19894,Sargon II,3,component:b0677c4f454d2452,BM 118812;BM 118816;BM 118818;BM 118824;BM 118827;BM 118828;BM 118830,Sargon II,0.8258460760116577,True
24,component:f9766de051a8a32d,AO 19894,Sargon II,4,component:83428ae96cd80e09,BM 118822,Sargon II,0.808617353439331,True
24,component:f9766de051a8a32d,AO 19894,Sargon II,5,component:1ea64e618b4f360d,HM 3944,Sargon II,0.806550920009613,True
42,component:49dfc86ff54bc4de,BM 118829,Sargon II,1,component:1d0f12f23787ad6e,BM 118917,Ashurbanipal,0.542390763759613,False
42,component:49dfc86ff54bc4de,BM 118829,Sargon II,2,component:842ac1d29f484e20,BM 124825,Ashurbanipal,0.5311169028282166,False
42,component:49dfc86ff54bc4de,BM 118829,Sargon II,3,component:c2a831c92b9da5f5,BM 118918,Ashurbanipal,0.46904313564300537,False
